# x         y1           y2
 -2.30259   1.908479e-03 1.479658e-03
 -2.21048   1.906846e-03 1.476792e-03
 -2.11838   1.905095e-03 1.473240e-03
 -2.02627   1.902897e-03 1.469257e-03
 -1.93417   1.900360e-03 1.464747e-03
 -1.84207   1.897129e-03 1.459389e-03
 -1.74996   1.893214e-03 1.453174e-03
 -1.65786   1.888528e-03 1.445678e-03
 -1.56576   1.882909e-03 1.436938e-03
 -1.47365   1.876523e-03 1.427344e-03
 -1.38155   1.868719e-03 1.416295e-03
 -1.28945   1.859091e-03 1.403791e-03
 -1.19734   1.847987e-03 1.389698e-03
 -1.10524   1.834956e-03 1.374266e-03
 -1.01314   1.819967e-03 1.357058e-03
 -0.921034  1.802585e-03 1.337637e-03
 -0.828931  1.783149e-03 1.316449e-03
 -0.736827  1.761652e-03 1.293687e-03
 -0.644724  1.738287e-03 1.269626e-03
 -0.55262   1.713630e-03 1.245106e-03
 -0.460517  1.686811e-03 1.219946e-03
 -0.368414  1.658457e-03 1.194950e-03
 -0.27631   1.629459e-03 1.170142e-03
 -0.184207  1.600395e-03 1.144998e-03
 -0.0921034 1.571781e-03 1.119932e-03
  0         1.543105e-03 1.094688e-03
  0.0921032 1.515381e-03 1.069958e-03
  0.184206  1.487411e-03 1.045893e-03
  0.27631   1.459234e-03 1.022340e-03
  0.368414  1.431274e-03 9.999234e-04
  0.460517  1.403748e-03 9.791401e-04
  0.552621  1.376912e-03 9.594989e-04
  0.644724  1.351160e-03 9.413696e-04
  0.736827  1.326676e-03 9.239252e-04
  0.828931  1.303087e-03 9.071141e-04
  0.921034  1.279900e-03 8.905652e-04
  1.01314   1.256687e-03 8.736009e-04
  1.10524   1.233176e-03 8.561798e-04
  1.19734   1.209393e-03 8.384622e-04
  1.28945   1.185524e-03 8.202381e-04
  1.38155   1.161628e-03 8.016068e-04
  1.47365   1.138652e-03 7.837310e-04
  1.56576   1.117181e-03 7.666917e-04
  1.65786   1.098473e-03 7.512152e-04
  1.74996   1.083499e-03 7.387195e-04
  1.84207   1.074185e-03 7.305872e-04
  1.93417   1.072683e-03 7.273013e-04
  2.02627   1.081629e-03 7.315823e-04
  2.11838   1.105120e-03 7.459687e-04
  2.21048   1.151108e-03 7.743642e-04
  2.30259   1.226623e-03 8.261718e-04
  2.39469   1.353403e-03 9.123715e-04
  2.48679   1.560818e-03 1.056232e-03
  2.5789    1.895363e-03 1.303910e-03
  2.671     2.459787e-03 1.718684e-03
  2.7631    3.309927e-03 2.404668e-03
  2.85521   4.542756e-03 3.457799e-03
  2.94731   6.163531e-03 4.898800e-03
  3.03941   8.094326e-03 6.619005e-03
  3.13152   1.017510e-02 8.520973e-03
  3.22362   1.223075e-02 1.036493e-02
  3.31572   1.413913e-02 1.199458e-02
  3.40783   1.579748e-02 1.343066e-02
  3.49993   1.715881e-02 1.458262e-02
  3.59203   1.822428e-02 1.545992e-02
  3.68414   1.905882e-02 1.609290e-02
  3.77624   1.970200e-02 1.656775e-02
  3.86834   2.012670e-02 1.688985e-02
  3.96045   2.044544e-02 1.713718e-02
  4.05255   2.065195e-02 1.724756e-02
  4.14465   2.076886e-02 1.733408e-02
  4.23676   2.082162e-02 1.734043e-02
  4.32886   2.083293e-02 1.732856e-02
  4.42096   2.080469e-02 1.727807e-02
  4.51307   2.075315e-02 1.721170e-02
  4.60517   2.069749e-02 1.713428e-02
  4.69727   2.061619e-02 1.705089e-02
  4.78938   2.052820e-02 1.696283e-02
  4.88148   2.044433e-02 1.687710e-02
  4.97358   2.035446e-02 1.678912e-02
  5.06569   2.026925e-02 1.670265e-02
  5.15779   2.018526e-02 1.662702e-02
  5.24989   2.010445e-02 1.655127e-02
  5.342     2.002952e-02 1.648012e-02
  5.4341    1.995653e-02 1.641070e-02
  5.5262    1.988799e-02 1.635208e-02
  5.61831   1.982340e-02 1.629306e-02
  5.71041   1.976456e-02 1.623781e-02
  5.80251   1.970988e-02 1.618650e-02
  5.89462   1.965903e-02 1.613911e-02
  5.98672   1.961149e-02 1.609610e-02
  6.07882   1.956818e-02 1.605684e-02
  6.17093   1.952815e-02 1.601991e-02
  6.26303   1.949126e-02 1.598616e-02
  6.35513   1.945738e-02 1.595616e-02
  6.44724   1.942597e-02 1.592800e-02
  6.53934   1.939662e-02 1.590202e-02
  6.63145   1.937035e-02 1.587865e-02
  6.72355   1.934622e-02 1.585698e-02
  6.81565   1.932377e-02 1.583718e-02
  6.90776   1.930356e-02 1.581889e-02
